"Freq [GHz]","dB(GainTotal) [] - Phi='0deg' Theta='0deg'"
19,9.49927815868942
19.1,9.52154177303364
19.2,9.5431921072493
19.3,9.56422340639642
19.4,9.58463117029807
19.5,9.60441033197763
19.6,9.62355391488396
19.7,9.64205215438635
19.8,9.65989205461577
19.9,9.67705703252449
20,9.69352715172926
20.1,9.70927924055815
20.2,9.72428771947757
20.3,9.73852540001375
20.4,9.75196489132081
20.5,9.76457953456738
20.6,9.77634453358835
20.7,9.78723864924822
20.8,9.79724700245826
20.9,9.80636572102324
21,9.81460303231854
21.1,9.82197188909804
21.2,9.82847613656938
21.3,9.83409418546437
21.4,9.83876251632078
21.5,9.84236002130234
21.6,9.84469597186725
21.7,9.84550375755445
21.8,9.84444099919836
21.9,9.84109573621459
22,9.83499717405726
22.1,9.82563035159413
22.2,9.8124577015162
22.3,9.79495209296598
22.4,9.77265230020478
22.5,9.74525279779102
22.6,9.71274177810763
22.7,9.67559264547898
22.8,9.63499302995034
22.9,9.59305273938079
23,9.55287605604153
23.1,9.51834902520927
23.2,9.49354715160411
23.3,9.48184918010975
23.4,9.48507993441075
23.5,9.50308745843437
