"Theta [deg]","dB(GainTotal) [] - Freq='20.5GHz' Phi='0deg'","dB(GainTotal) [] - Freq='20.5GHz' Phi='90deg'"
-180,-16.7199927341487,-16.7199927341487
-179,-17.0514182845594,-16.7614830958218
-178,-17.4596767874691,-16.8245381162553
-177,-17.9529387996586,-16.9087052795311
-176,-18.5413031099926,-17.0131648620026
-175,-19.2371247746794,-17.1366785139082
-174,-20.0550989137219,-17.2775225592744
-173,-21.0114384447095,-17.4334081197618
-172,-22.1202350914263,-17.6013929284883
-171,-23.3816426056781,-17.7777940105656
-170,-24.7481262627273,-17.9581164822272
-169,-26.0447006147878,-18.1370212450758
-168,-26.8686817455896,-18.3083619369077
-167,-26.744006819022,-18.4653260889135
-166,-25.6673351897465,-18.6007121386219
-165,-24.1123692263995,-18.7073571431235
-164,-22.4833279486337,-18.7786965865415
-163,-20.9562979979914,-18.809391739507
-162,-19.5789019413802,-18.7959164283199
-161,-18.3505666097375,-18.7369761251499
-160,-17.2565820055222,-18.6336558053376
-159,-16.2800387221622,-18.4892577884805
-158,-15.4055084060517,-18.3088721887659
-157,-14.6198792075765,-18.0987857821273
-156,-13.912276037684,-17.865856415408
-155,-13.273734607816,-17.6169594441725
-154,-12.6968526435157,-17.3585684976634
-153,-12.1754848393264,-17.0964873001703
-152,-11.7044940203505,-16.8357166360335
-151,-11.2795536837619,-16.5804245303377
-150,-10.8969928658142,-16.3339849636533
-149,-10.5536744499922,-16.0990553118486
-148,-10.2468994471899,-15.877670386766
-147,-9.97433133416427,-15.6713384844004
-146,-9.7339358882084,-15.4811309003362
-145,-9.52393303582758,-15.3077606665815
-144,-9.34275806459098,-15.1516490227352
-143,-9.18903017689309,-15.0129797402508
-142,-9.0615268380018,-14.8917422406105
-141,-8.9591627267571,-14.7877647786568
-140,-8.88097236539957,-14.7007390082966
-139,-8.82609570771338,-14.6302371457629
-138,-8.79376611863787,-14.5757227805844
-137,-8.78330029603103,-14.5365562072293
-136,-8.79408977539915,-14.5119949908681
-135,-8.82559372779473,-14.5011903568778
-134,-8.87733281462649,-14.5031799180046
-133,-8.94888390443278,-14.5168772360969
-132,-9.03987548839845,-14.5410587678944
-131,-9.14998365548925,-14.5743488782207
-130,-9.27892850594556,-14.6152038305546
-129,-9.42647089450658,-14.6618959925159
-128,-9.59240940279123,-14.7124999215347
-127,-9.77657744413346,-14.7648825055087
-126,-9.97884040402038,-14.8166998771797
-125,-10.1990927150656,-14.8654043101018
-124,-10.4372547569276,-14.9082645977852
-123,-10.6932694583259,-14.942403324452
-122,-10.9670984596871,-14.9648537352762
-121,-11.2587176701711,-14.9726374091119
-120,-11.568112020861,-14.9628615411368
-119,-11.8952691756176,-14.9328314866261
-118,-12.2401719112051,-14.8801707315201
-117,-12.6027888175535,-14.8029373754057
-116,-12.9830628963998,-14.6997244411067
-115,-13.3808975516204,-14.5697316559258
-114,-13.7961393681503,-14.412799129356
-113,-14.2285569715129,-14.2293982397651
-112,-14.6778151534813,-14.0205810195941
-111,-15.1434433541168,-13.7878950029224
-110,-15.6247975284822,-13.5332745840892
-109,-16.1210144332837,-13.2589216787643
-108,-16.6309574985997,-12.967187845601
-107,-17.1531537801085,-12.660467592431
-106,-17.6857221211184,-12.3411092367081
-105,-18.2262937158619,-12.0113462740662
-104,-18.7719278829146,-11.6732493455987
-103,-19.3190281147976,-11.3286968812415
-102,-19.8632663275817,-10.9793613593832
-101,-20.3995264087402,-10.626707716353
-100,-20.9218809882363,-10.2720005486631
-99,-21.4236167180643,-9.91631716386117
-98,-21.8973217975899,-9.56056408236978
-97,-22.3350437698136,-9.20549515578159
-96,-22.7285156005834,-8.85172997813648
-95,-23.0694357626659,-8.49977169389977
-94,-23.349777967335,-8.15002364211382
-93,-23.5621037912869,-7.80280452684638
-92,-23.6998597066968,-7.45836198244138
-91,-23.7576556133537,-7.11688452283704
-90,-23.7315346003651,-6.77851194120951
-89,-23.6192411357914,-6.44334427130017
-88,-23.4204724017811,-6.11144944452583
-87,-23.137064737177,-5.7828697846611
-86,-22.773045691364,-5.45762747991718
-85,-22.3344919872107,-5.13572916447068
-84,-21.8291774160258,-4.81716973058893
-83,-21.266053348508,-4.50193548023611
-82,-20.6546495784639,-4.19000671257644
-81,-20.0044953979576,-3.88135983181504
-80,-19.3246404222916,-3.57596904872721
-79,-18.6233169207091,-3.27380773921075
-78,-17.9077480907192,-2.97484951430897
-77,-17.1840810078472,-2.67906904837
-76,-16.4574113998684,-2.38644270525694
-75,-15.7318668017803,-2.09694899670884
-74,-15.010720192583,-1.81056890196622
-73,-14.2965138251522,-1.52728607351404
-72,-13.591180156523,-1.24708695015744
-71,-12.8961524880538,-0.969960795540725
-70,-12.2124619405935,-0.6958996775671
-69,-11.5408199535643,-0.424898401903128
-68,-10.8816869747837,-0.15695441079805
-67,-10.2353287479384,0.107932343239041
-66,-9.6018618817281,0.369759540824118
-65,-8.98129039389166,0.628522649340702
-64,-8.37353479293505,0.884215081152617
-63,-7.77845506954248,1.13682835168275
-62,-7.19586876410727,1.38635223352181
-61,-6.6255650808847,1.63277490350038
-60,-6.06731584426012,1.87608308033917
-59,-5.52088394235489,2.11626215109783
-58,-4.98602977743971,2.35329628517805
-57,-4.46251613920763,2.58716853510931
-56,-3.95011183293147,2.81786092376031
-55,-3.44859432683197,3.04535451798
-54,-2.95775162875931,3.26962948898333
-53,-2.47738355903298,3.49066516006093
-52,-2.00730255186745,3.70844004241285
-51,-1.54733409046876,3.9229318600867
-50,-1.09731685918425,4.13411756514281
-49,-0.657102678862859,4.34197334427685
-48,-0.226556277908247,4.5464746182058
-47,0.194445059356867,4.74759603517001
-46,0.60601193403791,4.94531145992412
-45,1.00824333763062,5.13959395958682
-44,1.40122719998941,5.3304157876955
