"Theta [deg]","dB(GainY) [] - Freq='20.5GHz' Phi='0deg'","dB(GainY) [] - Freq='20.5GHz' Phi='90deg'"
-180,-52.4508781782217,-52.4508781782226
-179,-52.2340315789939,-43.8543581168498
-178,-52.0145531823599,-37.8171645881981
-177,-51.7923550752943,-34.2531897622827
-176,-51.5676681889454,-31.7508836608975
-175,-51.3410147565158,-29.8363941310391
-174,-51.1131744007683,-28.2967010743719
-173,-50.8851478385463,-27.0181303429606
-172,-50.6581213813211,-25.9329314388501
-171,-50.4334343959509,-24.9974818638563
-170,-50.2125508688837,-24.1820437005361
-169,-49.9970353485235,-23.4654325176669
-168,-49.7885329157354,-22.8320201333842
-167,-49.5887524734882,-22.269944267688
-166,-49.399452520271,-21.7699855646144
-165,-49.2224286113066,-21.3248342841528
-164,-49.0595018378528,-20.9285950166557
-163,-48.9125077933867,-20.5764424257808
-162,-48.7832855851929,-20.2643759896466
-161,-48.6736664458822,-19.9890414873602
-160,-48.585461369554,-19.7475986068456
-159,-48.5204469154462,-19.5376211216069
-158,-48.4803478584565,-19.3570205136577
-157,-48.4668146781456,-19.2039867681617
-156,-48.4813928998018,-19.0769419401547
-155,-48.5254799357532,-18.9745033539608
-154,-48.6002631905815,-18.8954541592408
-153,-48.7066306341578,-18.8387195693143
-152,-48.8450416742942,-18.8033475333915
-151,-49.0153419777525,-18.7884929003545
-150,-49.216501315725,-18.7934043544884
-149,-49.4462499856654,-18.8174135677572
-148,-49.7005904737847,-18.8599261356859
-147,-49.9731743495371,-18.9204139562586
-146,-50.2545736113384,-18.9984087816428
-145,-50.5315605139111,-19.0934967267709
-144,-50.7866563736773,-19.2053135609993
-143,-50.9983985676252,-19.3335406422257
-142,-51.1428926956487,-19.4779013791729
-141,-51.197023442539,-19.6381581286634
-140,-51.1429669465181,-19.8141094518191
-139,-50.9725702268887,-20.005587667134
-138,-50.6895989096071,-20.2124566499653
-137,-50.3086554235591,-20.434609837713
-136,-49.8513595175461,-20.6719684082045
-135,-49.341671751916,-20.9244796059182
-134,-48.8021178508534,-21.1921151969293
-133,-48.2516556872056,-21.4748700390888
-132,-47.7050113759656,-21.7727607591618
-131,-47.1729366063698,-22.0858245336727
-130,-46.6628767045975,-22.4141179752387
-129,-46.1797217670843,-22.7577161314658
-128,-45.7264807915592,-23.11671160929
-127,-45.304824991466,-23.4912138442874
-126,-44.9154998271778,-23.8813485423184
-125,-44.5586260697903,-24.2872573303705
-124,-44.2339145937114,-24.7090976651688
-123,-43.9408171613373,-25.1470430627286
-122,-43.6786310123914,-25.6012837303893
-121,-43.4465706586529,-26.072027706084
-120,-43.2438166133589,-26.5595026390493
-119,-43.0695479633701,-27.06395838365
-118,-42.9229636128008,-27.5856706258169
-117,-42.8032955271229,-28.1249458228359
-116,-42.7098162345269,-28.6821278160131
-115,-42.6418420730969,-29.257606577704
-114,-42.5987331142496,-29.8518296871305
-113,-42.5798902756095,-30.4653173043982
-112,-42.584749809343,-31.0986816450726
-111,-42.6127750775393,-31.7526522720022
-110,-42.6634452764691,-32.428108951744
-109,-42.7362405250682,-33.1261244232242
-108,-42.8306224737721,-33.8480202786972
-107,-42.9460093074564,-34.5954403921091
-106,-43.0817437081097,-35.3704481579727
-105,-43.2370520195105,-36.175656571877
-104,-43.4109925507011,-37.0144044790832
-103,-43.6023907394316,-37.8909991637254
-102,-43.8097589064731,-38.8110566918524
-101,-44.031198800796,-39.7819905091268
-100,-44.2642864383748,-40.8137324833858
-99,-44.5059414228035,-41.9198327841132
-98,-44.7522877158968,-43.1192061177999
-97,-44.9985204372303,-44.439043282943
-96,-45.2388040754418,-45.9199714826874
-95,-45.4662406690017,-47.6259451444556
-94,-45.6729588140462,-49.66528773255
-93,-45.8503789090396,-52.2425466212509
-92,-45.9896965778924,-55.8188962201309
-91,-46.0825849307226,-61.8689505578014
-90,-46.1220466631288,-326.389690453876
-89,-46.1032676424003,-61.8494081121325
-88,-46.024273259443,-55.7788993825789
-87,-45.8862074137589,-52.1803275545082
-86,-45.6931509533877,-49.5783291528414
-85,-45.451533205006,-47.5111266803165
-84,-45.1693011092996,-45.7737421968308
-83,-44.8550475660885,-44.2576052345987
-82,-44.5172628484411,-42.898694386803
-81,-44.1637962545029,-41.656479525676
-80,-43.8015408754344,-40.5040058034347
-79,-43.436306180712,-39.4227026315072
-78,-43.0728240819003,-38.3994394647239
-77,-42.7148356029792,-37.4247479960526
-76,-42.3652165821006,-36.4916940623752
-75,-42.0261142053298,-35.5951331549072
-74,-41.6990776481683,-34.7312037675732
-73,-41.3851744268593,-33.8969743809931
-72,-41.0850894218634,-33.0901931166428
-71,-40.7992066299051,-32.3091079123743
-70,-40.5276752651317,-31.5523361940304
-69,-40.2704624541066,-30.818769861986
-68,-40.0273948655065,-30.1075057806426
-67,-39.7981914459715,-29.4177948424997
-66,-39.5824891537932,-28.749004637561
-65,-39.3798632770532,-28.1005921226038
-64,-39.1898436346203,-27.4720836528541
-63,-39.0119277045342,-26.8630604360916
-62,-38.845591508922,-26.2731479773727
-61,-38.6902989052848,-25.7020084557164
-60,-38.5455097856192,-25.1493352496012
-59,-38.4106875616178,-24.6148490322388
-58,-38.285306210749,-24.0982950091428
-57,-38.1688570699163,-23.5994409831806
-56,-38.0608554873348,-23.1180760161191
-55,-37.9608473770512,-22.6540095180533
-54,-37.8684156630908,-22.2070706425638
-53,-37.7831865513538,-21.777107900057
-52,-37.7048355276169,-21.3639889275718
-51,-37.6330929502924,-20.96760037265
-50,-37.5677490880375,-20.5878478633751
-49,-37.5086584457782,-20.224656047638
-48,-37.4557432286153,-19.8779686930561
-47,-37.4089958110547,-19.5477488454346
-46,-37.3684801077936,-19.2339790487834
-45,-37.3343317797263,-18.9366616340591
-44,-37.3067572519104,-18.6558190873303
-43,-37.2860315654036,-18.3914945111968
-42,-37.2724951283406,-18.1437521962344
