"Theta [deg]","dB(GainY) [] - Freq='35GHz' Phi='0deg'","dB(GainY) [] - Freq='35GHz' Phi='90deg'"
-2.4893975,2.899037698,2.394011867
-2.4582825,4.148331936,2.683577963
-2.4271675,4.903270073,2.626713452
-2.3960525,5.239980711,2.356250973
-2.3649375,5.168567846,1.972162815
-2.3338225,4.640168241,1.508343401
-2.3027075,3.527098668,0.903872248
-2.2715925,1.54733921,0.014097509
-2.2404775,-2.020384199,-1.325960566
-2.2093625,-10.07418665,-3.068135469
-2.1782475,-10.58142744,-4.053584999
-2.1471325,-1.119757043,-2.326207386
-2.1160175,3.388761773,0.739102276
-2.0849025,6.171131057,3.436013851
-2.0537875,7.973930541,5.447441335
-2.0226725,9.064485976,6.803947878
-1.9915575,9.542070037,7.545684972
-1.9604425,9.414645817,7.664668765
-1.9293275,8.608744711,7.078864205
-1.8982125,6.935382074,5.568544073
-1.8670975,4.008830019,2.547731215
-1.8359825,-0.319488668,-4.274180772
-1.8048675,0.110893853,-12.11158146
-1.7737525,5.155459985,1.379519589
-1.7426375,8.774683857,6.407662083
-1.7115225,11.13813089,9.319391333
-1.6804075,12.62223785,11.10130182
-1.6492925,13.40585633,12.07317357
-1.6181775,13.55014142,12.3390695
-1.5870625,13.03118153,11.87982647
-1.5559475,11.73432539,10.54172212
-1.5248325,9.43137919,7.909047193
-1.4937175,6.043098246,2.856394036
-1.4626025,4.683194405,-2.000000178
-1.4314875,8.438154318,5.681663719
-1.4003725,12.06932834,10.53088822
-1.3692575,14.55528103,13.43265274
-1.3381425,16.13947433,15.20946203
-1.3070275,16.99387687,16.16608381
-1.2759125,17.18247538,16.40310586
-1.2447975,16.68039721,15.89655064
-1.2136825,15.36342935,14.48319025
-1.1825675,12.97649391,11.73749678
-1.1514525,9.432378072,6.74329493
-1.1203375,8.426037766,4.624970824
-1.0892225,12.56689179,11.13563844
-1.0581075,16.21654334,15.43482761
-1.0269925,18.66251761,18.09033025
-0.9958775,20.18621582,19.70195832
-0.9647625,20.95099919,20.5044164
-0.9336475,20.99765303,20.55530758
-0.9025325,20.25436887,19.77582031
-0.8714175,18.48677955,17.88539792
-0.8403025,15.13527073,14.09524013
-0.8091875,9.877691805,6.594296886
-0.7780725,12.5015615,11.3188651
-0.7469575,18.04646014,17.73865411
-0.7158425,21.4507554,21.28247532
-0.6847275,23.44313936,23.31249748
-0.6536125,24.35716548,24.23682536
-0.6224975,24.23152317,24.10550769
-0.5913825,22.95059509,22.79517531
-0.5602675,21.14436659,20.93313488
-0.5291525,23.36513299,23.23116336
-0.4980375,28.63316787,28.57405321
-0.4669225,33.16058852,33.12330821
-0.4358075,36.77350971,36.74489153
-0.4046925,39.72557554,39.70206791
-0.3735775,42.19354466,42.17388896
-0.3424625,44.28791876,44.27151553
-0.3113475,46.0800619,46.06652873
-0.2802325,47.61817403,47.60720564
-0.2491175,48.93609767,48.92741663
