"Theta [deg]","dB(GainY) [] - Freq='10GHz' Phi='0deg'","dB(GainY) [] - Freq='10GHz' Phi='90deg'"
-8.5884214,2.063658954,1.169534313
-8.48106475,2.137893587,1.772703203
-8.3737081,2.261491122,2.183120227
-8.26635145,2.393358839,2.402503689
-8.1589948,2.49651522,2.428285108
-8.05163815,2.541627697,2.252528325
-7.9442815,2.507391302,1.860303049
-7.83692485,2.379494529,1.22687741
-7.7295682,2.149456857,0.312584143
-7.62221155,1.814070889,-0.947151999
-7.5148549,1.375917153,-2.662904808
-7.40749825,0.845433693,-5.04146561
-7.3001416,0.245146285,-8.525202563
-7.19278495,-0.383550295,-14.18307268
-7.0854283,-0.972399824,-18.8566165
-6.97807165,-1.423545988,-12.00919776
-6.870715,-1.625583419,-7.485987625
-6.76335835,-1.49655635,-4.631103612
-6.6560017,-1.02916133,-2.652169416
-6.54864505,-0.292380613,-1.204707451
-6.4412884,0.611626083,-0.107650742
-6.33393175,1.590196678,0.751718983
-6.2265751,2.576513146,1.452951445
-6.11921845,3.527115242,2.055600395
-6.0118618,4.41410219,2.602589825
-5.90450515,5.218485542,3.119411304
-5.7971485,5.925894562,3.613084794
-5.68979185,6.52406199,4.073389362
-5.5824352,7.001345682,4.476623223
-5.47507855,7.345779071,4.790187286
-5.3677219,7.544401464,4.975820657
-5.26036525,7.582857903,4.990039175
-5.1530086,7.445596207,4.780972302
-5.04565195,7.117733956,4.280333205
-4.9382953,6.591593114,3.386766187
-4.83093865,5.885712948,1.929581588
-4.723582,5.093049543,-0.4192237
-4.61622535,4.469532375,-4.341361908
-4.5088687,4.456276151,-9.149164751
-4.40151205,5.347399311,-4.238889114
-4.2941554,6.911324613,1.281859501
-4.18679875,8.694496567,5.05415531
-4.0794421,10.40740772,7.831087219
-3.97208545,11.93610044,9.982934543
-3.8647288,13.25097255,11.69248723
-3.75737215,14.35241494,13.05891489
-3.6500155,15.24867141,14.13928549
-3.54265885,15.94808714,14.96686952
-3.4353022,16.45703818,15.560146
-3.32794555,16.78047851,15.92798191
-3.2205889,16.92474234,16.07392371
-3.11323225,16.9041098,16.00264101
-3.0058756,16.75476224,15.734189
-2.89851895,16.56099594,15.33766411
-2.7911623,16.48946612,14.99739716
-2.68380565,16.78536558,15.06894465
-2.576449,17.64532643,15.91823556
-2.46909235,19.04032207,17.53172061
-2.3617357,20.74911612,19.538967
-2.25437905,22.54683824,21.60368721
-2.1470224,24.29716965,23.56144617
-2.03966575,25.9389628,25.35853825
-1.9323091,27.45232598,26.98859997
-1.82495245,28.8360793,28.46164088
-1.7175958,30.09642076,29.79177907
-1.61023915,31.24182397,30.99287022
-1.5028825,32.28089221,32.07716617
-1.39552585,33.22153429,33.05507985
-1.2881692,34.07071264,33.93532313
-1.18081255,34.83442889,34.72514344
-1.0734559,35.51779961,35.43056102
-0.96609925,36.12515814,36.05657586
-0.8587426,36.660156,36.60733827
-0.75138595,37.12585341,37.08628599
-0.6440293,37.52479641,37.49625286
-0.53667265,37.85908034,37.83955425
-0.429316,38.13040127,38.11805365
-0.32195935,38.34009651,38.33321393
-0.2146027,38.48917597,38.48613612
-0.10724605,38.57834526,38.57758765
0.0001106,38.60802156,38.60802156
0.10746725,38.57834296,38.57758765
0.2148239,38.48917145,38.48613612
0.32218055,38.34008993,38.33321393
0.4295372,38.13039288,38.11805365
0.53689385,37.85907051,37.83955425
0.6442505,37.52478558,37.49625286
0.75160715,37.12584217,37.08628599
0.8589638,36.66014504,36.60733827
0.96632045,36.12514832,36.05657586
1.0736771,35.51779197,35.43056102
1.18103375,34.83442468,34.72514344
1.2883904,34.07071334,33.93532313
1.39574705,33.22154168,33.05507985
1.5031037,32.2809084,32.07716617
1.61046035,31.24185146,30.99287022
1.717817,30.09646241,29.79177907
1.82517365,28.83613828,28.46164088
1.9325303,27.45240546,26.98859997
2.03988695,25.9390651,25.35853825
2.1472436,24.29729423,23.56144617
2.25460025,22.54697705,21.60368721
2.3619569,20.74924469,19.538967
2.46931355,19.04038825,17.53172061
2.5766702,17.64525433,15.91823556
2.68402685,16.78510237,15.06894465
2.7913835,16.48903352,14.99739716
2.89874015,16.56046542,15.33766411
3.0060968,16.75419862,15.734189
3.11345345,16.90355235,16.00264101
3.2208101,16.92421149,16.07392371
3.32816675,16.77998525,15.92798191
3.4355234,16.45659003,15.560146
3.54288005,15.9476915,14.96686952
3.6502367,15.24833751,14.13928549
3.75759335,14.35215532,13.05891489
3.86495,13.25080434,11.69248723
3.97230665,11.93604603,9.982934543
4.0796633,10.40749278,7.831087219
4.18701995,8.694738103,5.05415531
4.2943766,6.911689826,1.281859501
4.40173325,5.347720565,-4.238889114
4.5090899,4.456242157,-9.149164751
4.61644655,4.468968661,-4.341361908
4.7238032,5.092078496,-0.4192237
4.83115985,5.884529965,1.929581588
4.9385165,6.590326043,3.386766187
5.04587315,7.11644892,4.280333205
5.1532298,7.444326932,4.780972302
5.26058645,7.581624028,4.990039175
5.3679431,7.543217721,4.975820657
5.47529975,7.34465987,4.790187286
5.5826564,7.000307596,4.476623223
5.69001305,6.52312529,4.073389362
5.7973697,5.925084181,3.613084794
5.90472635,5.217831541,3.119411304
6.012083,4.413639358,2.602589825
6.11943965,3.526881176,2.055600395
6.2267963,2.576543339,1.452951445
6.33415295,1.590514363,0.751718983
6.4415096,0.61222382,-0.107650742
6.54886625,-0.291567875,-1.204707451
6.6562229,-1.028279422,-2.652169416
6.76357955,-1.495817025,-4.631103612
6.8709362,-1.625183286,-7.485987625
6.97829285,-1.423566637,-12.00919776
7.0856495,-0.972783213,-18.8566165
7.19300615,-0.384154158,-14.18307268
7.3003628,0.244487181,-8.525202563
7.40771945,0.84488195,-5.04146561
7.5150761,1.375637225,-2.662904808
7.62243275,1.814249016,-0.947151999
7.7297894,2.150329604,0.312584143
7.83714605,2.381385933,1.22687741
7.9445027,2.510761924,1.860303049
8.05185935,2.547139067,2.252528325
