"Theta [deg]","dB(GainTotal) [] - Freq='10GHz' Phi='0deg'","dB(GainTotal) [] - Freq='10GHz' Phi='90deg'"
-180,-2.69673365809892,-2.69673365809891
-179,-2.74697659310821,-2.70320480633835
-178,-2.94555338196081,-2.81027319807658
-177,-3.29271500866888,-3.01973858053583
-176,-3.78908169902133,-3.33396438721997
-175,-4.43669267245188,-3.75595462893176
-174,-5.24041966373746,-4.28940807788786
-173,-6.20972099430886,-4.93874547920611
-172,-7.36072848660963,-5.70911855446799
-171,-8.71875364204532,-6.60642081565027
-170,-10.3215070294617,-7.6373136290309
-169,-12.2235754925705,-8.80921972256079
-168,-14.5023864532045,-10.1300324820947
-167,-17.2611391526971,-11.6067289193148
-166,-20.5896736736235,-13.2406492805419
-165,-24.2336030154285,-15.0138963950978
-164,-26.4259035500863,-16.8555656288095
-163,-25.6677724331944,-18.5786014675388
-162,-24.1596076940903,-19.8427678334294
-161,-23.1684893651075,-20.3407267797781
-160,-22.8015586116502,-20.1462632514472
-159,-22.9757823477806,-19.63833771042
-158,-23.6149479870507,-19.1456014539609
-157,-24.6668440041526,-18.8391099591321
-156,-26.0968291628552,-18.7909803776816
-155,-27.8792343407527,-19.0318912417886
-154,-29.9810784190688,-19.58031770236
-153,-32.3013474142393,-20.455801092028
-152,-34.4501590964774,-21.685790977582
-151,-35.417843701938,-23.3096992746542
-150,-34.4986952416878,-25.3770529129934
-149,-32.5811790637883,-27.9144677195785
-148,-30.618006001366,-30.740967326992
-147,-28.931441207216,-32.8707674633931
-146,-27.5755637184647,-32.8207341744397
-145,-26.5369935841198,-31.3352629729786
-144,-25.7897934550927,-29.8036281063354
-143,-25.3079789710466,-28.6089751599282
-142,-25.0676783876297,-27.734368843359
-141,-25.0468564115533,-27.0987412665317
-140,-25.2245492244249,-26.6297369907999
-139,-25.5801742983416,-26.2742151402696
-138,-26.0932143320364,-25.9962340512119
-137,-26.7435803902432,-25.7725231789418
-136,-27.5129662994289,-25.5879879713207
-135,-28.3873521854263,-25.4323951298532
-134,-29.3604059672286,-25.2986829006148
-133,-30.4369553789985,-25.1826530468351
-132,-31.6352296123391,-25.0833367713606
-131,-32.9861879619896,-25.0032566469485
-130,-34.5265538385734,-24.9480951799559
-129,-36.2741678611952,-24.9257203381467
-128,-38.1481878157108,-24.9448548761979
-127,-39.7668573998833,-25.0137697829472
-126,-40.3376474629816,-25.1392708619921
-125,-39.5099986947904,-25.3260660979739
-124,-37.9759353774058,-25.5764613227588
