theta,phi=0бу,phi=90бу
-180,-2.696733658,-2.696733658
-179,-2.746976593,-2.703204806
-178,-2.945553382,-2.810273198
-177,-3.292715009,-3.019738581
-176,-3.789081699,-3.333964387
-175,-4.436692672,-3.755954629
-174,-5.240419664,-4.289408078
-173,-6.209720994,-4.938745479
-172,-7.360728487,-5.709118554
-171,-8.718753642,-6.606420816
-170,-10.32150703,-7.637313629
-169,-12.22357549,-8.809219723
-168,-14.50238645,-10.13003248
-167,-17.26113915,-11.60672892
-166,-20.58967367,-13.24064928
-165,-24.23360302,-15.0138964
-164,-26.42590355,-16.85556563
-163,-25.66777243,-18.57860147
-162,-24.15960769,-19.84276783
-161,-23.16848937,-20.34072678
-160,-22.80155861,-20.14626325
-159,-22.97578235,-19.63833771
-158,-23.61494799,-19.14560145
-157,-24.666844,-18.83910996
-156,-26.09682916,-18.79098038
-155,-27.87923434,-19.03189124
-154,-29.98107842,-19.5803177
-153,-32.30134741,-20.45580109
-152,-34.4501591,-21.68579098
-151,-35.4178437,-23.30969927
-150,-34.49869524,-25.37705291
-149,-32.58117906,-27.91446772
-148,-30.618006,-30.74096733
-147,-28.93144121,-32.87076746
-146,-27.57556372,-32.82073417
-145,-26.53699358,-31.33526297
-144,-25.78979346,-29.80362811
-143,-25.30797897,-28.60897516
-142,-25.06767839,-27.73436884
-141,-25.04685641,-27.09874127
-140,-25.22454922,-26.62973699
-139,-25.5801743,-26.27421514
-138,-26.09321433,-25.99623405
-137,-26.74358039,-25.77252318
-136,-27.5129663,-25.58798797
-135,-28.38735219,-25.43239513
-134,-29.36040597,-25.2986829
-133,-30.43695538,-25.18265305
-132,-31.63522961,-25.08333677
-131,-32.98618796,-25.00325665
-130,-34.52655384,-24.94809518
-129,-36.27416786,-24.92572034
-128,-38.14818782,-24.94485488
-127,-39.7668574,-25.01376978
-126,-40.33764746,-25.13927086
-125,-39.50999869,-25.3260661
-124,-37.97593538,-25.57646132
-123,-36.41131504,-25.89026984
-122,-35.06119868,-26.26482189
-121,-33.96303515,-26.69499197
-120,-33.09434933,-27.17320412
-119,-32.42116816,-27.68941947
-118,-31.91073925,-28.23115401
-117,-31.53396519,-28.78361887
-116,-31.26519916,-29.33010965
-115,-31.08157768,-29.85277551
-114,-30.96248611,-30.33383929
-113,-30.88929128,-30.7571953
-112,-30.84532898,-31.1101094
-111,-30.81607311,-31.38458691
-110,-30.7893789,-31.5779893
-109,-30.75568016,-31.69271577
-108,-30.70803762,-31.73510614
-107,-30.64198303,-31.71396547
