"Theta [deg]","db(GainTotal) [] Phi='0deg'","db(GainTotal) [] - Phi='90deg'"
-180,-6.172519241,-6.172519106
-179,-6.185564796,-6.176881387
-178,-6.215523055,-6.189764767
-177,-6.262479081,-6.211187779
-176,-6.326565344,-6.241181186
-175,-6.407962115,-6.279789943
-174,-6.50689687,-6.327070586
-173,-6.623646621,-6.383093504
-172,-6.758535506,-6.447940522
-171,-6.911936323,-6.521709791
-170,-7.084269139,-6.604509579
-169,-7.276000586,-6.696463272
-168,-7.48763864,-6.797710415
-167,-7.719730446,-6.908400509
-166,-7.972851718,-7.028700487
-165,-8.247594582,-7.158790709
-164,-8.544548243,-7.298865847
-163,-8.864271822,-7.449135429
-162,-9.207250152,-7.609823593
-161,-9.573833241,-7.781170148
-160,-9.964149503,-7.963426064
-159,-10.37798133,-8.156860285
-158,-10.81458873,-8.361752586
-157,-11.27246775,-8.578396522
-156,-11.74902095,-8.807097985
-155,-12.24012498,-9.048173524
-154,-12.7395958,-9.301949255
-153,-13.23857909,-9.568759548
-152,-13.72496762,-9.848944789
-151,-14.18306611,-10.14284784
-150,-14.59384865,-10.45081195
-149,-14.93625123,-10.7731767
-148,-15.18977452,-11.11027517
-147,-15.33815399,-11.46242419
-146,-15.37304167,-11.82992438
-145,-15.29617954,-12.21304822
-144,-15.1189874,-12.61203462
-143,-14.85977906,-13.02707694
-142,-14.53992948,-13.45831669
-141,-14.18045183,-13.90582727
-140,-13.79979307,-14.36960342
-139,-13.41271428,-14.84845532
-138,-13.03090761,-15.34418995
-137,-12.66254806,-15.85550782
-136,-12.31342663,-16.38192392
-135,-11.98742499,-16.92278435
-134,-11.68701449,-17.47724797
-133,-11.41364986,-18.04425205
-132,-11.16806496,-18.62247124
-131,-10.95048166,-19.21025479
-130,-10.76075955,-19.80552681
-129,-10.59849251,-20.40563481
-128,-10.4630736,-21.00710255
-127,-10.35372815,-21.60527134
-126,-10.26952748,-22.19376886
-125,-10.20938759,-22.76379963
-124,-10.17205109,-23.30328243
-123,-10.15605993,-23.79599871
-122,-10.15971808,-24.22113049
-121,-10.18104486,-24.55384526
-120,-10.21772762,-24.76768838
-119,-10.26697298,-24.8391812
-118,-10.32585043,-24.75342332
-117,-10.39065304,-24.50884104
-116,-10.45730398,-24.11824399
-115,-10.52127685,-23.60550576
-114,-10.57767116,-22.99983376
-113,-10.62135838,-22.33029108
-112,-10.64722467,-21.62017828
-111,-10.65031499,-20.89368307
-110,-10.62637882,-20.16398826
-109,-10.57205755,-19.44186067
-108,-10.48520639,-18.73465771
-107,-10.3650789,-18.04719587
-106,-10.21237741,-17.3824658
-105,-10.02915748,-16.74216354
-104,-9.818600963,-16.12708482
-103,-9.584709101,-15.53740119
-102,-9.331963468,-14.97285206
-101,-9.06500242,-14.43288225
-100,-8.788357943,-13.9167308
-99,-8.506254176,-13.42349647
-98,-8.222480171,-12.95218024
