"Theta [deg]","dB(GainX) [] - Phi='0deg'","dB(GainY) [] - Phi='0deg'"
-180,-38.6230126,-6.172519106
-179,-38.085477,-6.176881387
-178,-37.59459638,-6.189764767
-177,-37.14530139,-6.211187779
-176,-36.73338152,-6.241181186
-175,-36.3552919,-6.279789943
-174,-36.00801626,-6.327070586
-173,-35.6889609,-6.383093504
-172,-35.39587099,-6.447940522
-171,-35.12676699,-6.521709791
-170,-34.87989416,-6.604509579
-169,-34.65368071,-6.696463272
-168,-34.44670684,-6.797710415
-167,-34.25767427,-6.908400509
-166,-34.08538883,-7.028700487
-165,-33.92873674,-7.158790709
-164,-33.78667278,-7.298865847
-163,-33.65820366,-7.449135429
-162,-33.54238096,-7.609823593
-161,-33.43828933,-7.781170148
-160,-33.3450377,-7.963426064
-159,-33.26175807,-8.156860285
-158,-33.187594,-8.361752586
-157,-33.12170293,-8.578396522
-156,-33.06325063,-8.807097985
-155,-33.01141058,-9.048173524
-154,-32.96536463,-9.301949255
-153,-32.92430502,-9.568759548
-152,-32.88743492,-9.848944789
-151,-32.85397379,-10.14284784
-150,-32.82316111,-10.45081195
-149,-32.79426019,-10.7731767
-148,-32.76655431,-11.11027517
-147,-32.73939055,-11.46242419
-146,-32.71214477,-11.82992438
-145,-32.68424567,-12.21304822
-144,-32.65517631,-12.61203462
-143,-32.62448263,-13.02707694
-142,-32.59177324,-13.45831669
-141,-32.55672549,-13.90582727
-140,-32.51908271,-14.36960342
-139,-32.47865607,-14.84845532
-138,-32.43532136,-15.34418995
-137,-32.38901351,-15.85550782
-136,-32.33972174,-16.38192392
-135,-32.28748314,-16.92278435
-134,-32.2323728,-17.47724797
-133,-32.17449916,-18.04425205
-132,-32.11399114,-18.62247124
-131,-32.05099259,-19.21025479
-130,-31.98565274,-19.80552681
-129,-31.91817147,-20.40563481
-128,-31.84858138,-21.00710255
-127,-31.77706371,-21.60527134
-126,-31.70372887,-22.19376886
-125,-31.62866487,-22.76379963
-124,-31.5519401,-23.30328243
-123,-31.47360267,-23.79599871
-122,-31.39379625,-24.22113049
-121,-31.31227923,-24.55384526
