"Theta [deg]","dB(GainX) [] - Freq='8.75GHz' Phi='0deg'","dB(GainX) [] - Freq='8.75GHz' Phi='90deg'"
-180,-14.3148846654376,-14.3148846654376
-179,-14.0853064873383,-14.551923596758
-178,-13.5436764252111,-14.8971104863728
-177,-12.7211252860649,-15.3583739561085
-176,-11.6882799152098,-15.9480189141658
-175,-10.5609276951869,-16.6811772443222
-174,-9.46142230926205,-17.5713887311679
-173,-8.48574309593419,-18.6192280270315
-172,-7.69698238395313,-19.7847502032588
-171,-7.13401023379348,-20.9307809573103
-170,-6.82269216842445,-21.7589251758624
-169,-6.78505675430358,-21.9008044517742
-168,-7.04645138498251,-21.2762488179744
-167,-7.64210917049332,-20.201754542779
-166,-8.62463556159429,-19.0407263606808
-165,-10.0725405585493,-17.9981724582453
-164,-12.0890116607684,-17.1548143286663
-163,-14.7013874345308,-16.5341882625089
-162,-17.1569842356225,-16.1398833583293
-161,-16.9409747107337,-15.9715084368736
-160,-14.4154474427503,-16.0311398778894
-159,-11.9670654063629,-16.3262087913876
-158,-10.1494124446563,-16.8715304864724
-157,-8.91618259521725,-17.6919360090673
-156,-8.17968921731933,-18.826663056616
-155,-7.88294563144836,-20.3366720518016
-154,-7.99836126289694,-22.3150107640412
-153,-8.51954863602011,-24.8889887828869
-152,-9.4515343750713,-28.1101370861364
-151,-10.790411952436,-31.0959926172748
-150,-12.4639826475582,-31.0227669311079
-149,-14.1764551455906,-28.8212414084731
-148,-15.246645827779,-26.9693165273073
-147,-15.1351366481406,-25.8818264238503
-146,-14.2693195050538,-25.4565533132718
-145,-13.3475988524288,-25.5293545777096
-144,-12.6865311072013,-25.8688601157944
-143,-12.3431470571123,-26.1388413668052
-142,-12.2815864648643,-26.0267388799885
-141,-12.4377472103409,-25.5243924650061
-140,-12.7372458333032,-24.9178287202646
-139,-13.0976851228104,-24.4939702227242
-138,-13.4288982150257,-24.4010395986705
-137,-13.6437738412392,-24.6685882413812
-136,-13.6874291551838,-25.2411466909767
-135,-13.5683155859108,-25.9929586396764
-134,-13.3571511133588,-26.7590620434205
-133,-13.1492745049425,-27.4204744684271
-132,-13.0237415816501,-27.9929769549666
-131,-13.023755694559,-28.6075676259108
-130,-13.1576942435054,-29.4054094886017
-129,-13.4130198442705,-30.4596438387015
-128,-13.7777509247434,-31.7426864505771
-127,-14.2614232911805,-33.0898712487521
-126,-14.9027956629824,-34.1411217549494
-125,-15.7567026568959,-34.41443796638
-124,-16.864676693102,-33.7515994600649
-123,-18.2194570617946,-32.5630629589597
-122,-19.7385302030785,-31.3762865666647
-121,-21.2851860749169,-30.5156006259047
-120,-22.7649046529774,-30.1341615058878
-119,-24.1612363490434,-30.2915647510952
-118,-25.2768292279912,-30.9663601224884
-117,-25.4698538142546,-31.9778879686448
-116,-24.4816989942839,-32.8436531036422
-115,-23.0759829906813,-32.9687371147131
-114,-21.9191572139652,-32.4083009131205
-113,-21.1583486050685,-31.7847881640819
-112,-20.6673648688702,-31.5405765721447
-111,-20.2570784455052,-31.8184058855877
-110,-19.8364474050859,-32.5965015597718
-109,-19.4656211232302,-33.7481193652739
-108,-19.2585241731213,-35.0543894944075
-107,-19.2667758869299,-36.274749166266
-106,-19.4442762541302,-37.3112157980095
-105,-19.6890743971128,-38.2762862640669
-104,-19.9321592140918,-39.3446384389765
-103,-20.1990688119694,-40.5929954754947
-102,-20.5748918412164,-41.9554093507822
-101,-21.1186658848804,-43.2621039986118
-100,-21.8167950146992,-44.3485696111178
-99,-22.6063036259997,-45.1778842776747
-98,-23.4488845828704,-45.8413616724208
-97,-24.3899075458531,-46.4572346865413
-96,-25.5396492968891,-47.127694979915
-95,-27.0109828135438,-47.9821129728653
-94,-28.8977854443616,-49.1779854773341
-93,-31.3449750378277,-50.6700038018535
-92,-34.7691574442659,-51.6110944328093
-91,-40.6603332741365,-50.9422916796799
-90,-300.074839925705,-49.7358477666287
-89,-40.5098210014036,-49.521084783701
-88,-34.4959975160893,-51.2583432299102
-87,-30.9886004226147,-56.8047579551797
-86,-28.4827626278017,-60.0740330877331
-85,-26.5320930184294,-51.0696619735981
-84,-24.9745924008008,-47.0115476731444
-83,-23.7297289782705,-44.8340138734967
-82,-22.7240528484459,-42.9087034663868
-81,-21.8856279712371,-40.3317881843807
-80,-21.1712575041995,-37.497096387252
-79,-20.5834914703406,-35.0362296870538
-78,-20.1527751183663,-33.1211349602871
-77,-19.9023475569755,-31.6350857421757
-76,-19.8297343206614,-30.3557081139264
-75,-19.920116446958,-29.0919878785964
-74,-20.1816113619051,-27.7950027661128
-73,-20.6746317949351,-26.5435983833941
-72,-21.5149368129349,-25.4305769081963
-71,-22.8636957682091,-24.4856604169467
-70,-24.9302847542445,-23.6748242487832
-69,-27.8802204191938,-22.9415093405305
-68,-30.2611119673253,-22.2536410968295
-67,-27.4993631573481,-21.6247027286029
-66,-23.033305530436,-21.0977075246087
-65,-19.3650850888363,-20.7141460948447
-64,-16.4457682151237,-20.4947307556396
-63,-14.0721561930466,-20.4390643063445
-62,-12.0995742813367,-20.5377722243708
-61,-10.4247028207563,-20.7874528347999
-60,-8.97505308104294,-21.1983172229329
-59,-7.70686554411994,-21.7855216813111
-58,-6.60150070496136,-22.5360304243066
-57,-5.65700951186647,-23.3375487711239
-56,-4.87801304479203,-23.8742736238032
-55,-4.26847027397581,-23.666723039876
-54,-3.82942755300725,-22.5278847370433
-53,-3.56111648771239,-20.8179687091065
-52,-3.46747997398932,-18.9878822682458
-51,-3.56099785145445,-17.2830312604926
-50,-3.86598682543513,-15.7945037218974
-49,-4.41882064384498,-14.5459883407339
-48,-5.26183602239404,-13.5362495098167
-47,-6.41743881059302,-12.7556070791642
-46,-7.79099838880802,-12.1920011019013
-45,-8.8940957578573,-11.8319598214183
-44,-8.71529095305551,-11.6568339593021
-43,-7.001029545077,-11.6326655387441
-42,-4.72016995224651,-11.692135384564
-41,-2.56064707222881,-11.7132863844203
-40,-0.71143723698446,-11.5210604612167
-39,0.813725401436928,-10.9571936895209
-38,2.0358893783199,-9.99621504908051
