"Theta [deg]","dB(GainX) [] - Freq='8.75GHz' Phi='0deg'","dB(GainY) [] - Freq='8.75GHz' Phi='0deg'"
-180,-14.3148846654376,-42.5899009440307
-179,-14.0853064873383,-43.4555437860789
-178,-13.5436764252111,-44.3558548876536
-177,-12.7211252860649,-45.0530490435221
-176,-11.6882799152098,-45.2839391118252
-175,-10.5609276951869,-44.9727709852661
-174,-9.46142230926205,-44.3093933650906
-173,-8.48574309593419,-43.5593111857299
-172,-7.69698238395313,-42.9039172364825
-171,-7.13401023379348,-42.4293099586244
-170,-6.82269216842445,-42.1636012511661
-169,-6.78505675430358,-42.102773896232
-168,-7.04645138498251,-42.2178768861747
-167,-7.64210917049332,-42.4483046584325
-166,-8.62463556159429,-42.6896947726683
-165,-10.0725405585493,-42.7984123639313
-164,-12.0890116607684,-42.6458598363554
-163,-14.7013874345308,-42.2085111217845
-162,-17.1569842356225,-41.5953784530673
-161,-16.9409747107337,-40.9746351274031
-160,-14.4154474427503,-40.4927427542678
-159,-11.9670654063629,-40.2484404497193
-158,-10.1494124446563,-40.3019784947748
-157,-8.91618259521725,-40.6905940031149
-156,-8.17968921731933,-41.4400832006776
-155,-7.88294563144836,-42.5731637043378
-154,-7.99836126289694,-44.1189390761393
-153,-8.51954863602011,-46.1278960953083
-152,-9.4515343750713,-48.679834261942
-151,-10.790411952436,-51.7218915145114
-150,-12.4639826475582,-53.8602962212471
-149,-14.1764551455906,-52.3261944638051
-148,-15.246645827779,-49.2757775744864
-147,-15.1351366481406,-46.763544264664
-146,-14.2693195050538,-44.9944104239732
-145,-13.3475988524288,-43.8680097414922
-144,-12.6865311072013,-43.2825461987915
-143,-12.3431470571123,-43.1553605488558
-142,-12.2815864648643,-43.4209564005088
-141,-12.4377472103409,-44.0406583662492
-140,-12.7372458333032,-45.0268863386533
-139,-13.0976851228104,-46.4757859721214
-138,-13.4288982150257,-48.6043774863335
-137,-13.6437738412392,-51.7852981691854
-136,-13.6874291551838,-56.0245720532485
-135,-13.5683155859108,-56.1535128884141
-134,-13.3571511133588,-51.7800083402553
-133,-13.1492745049425,-48.2994275116665
-132,-13.0237415816501,-45.7509927777773
-131,-13.023755694559,-43.7537637304944
-130,-13.1576942435054,-42.1229037461471
-129,-13.4130198442705,-40.8049808178092
-128,-13.7777509247434,-39.7995923017127
-127,-14.2614232911805,-39.1065456559209
-126,-14.9027956629824,-38.7006229680352
-125,-15.7567026568959,-38.5260978336905
-124,-16.864676693102,-38.508368418222
-123,-18.2194570617946,-38.5834380947453
-122,-19.7385302030785,-38.7312167587026
-121,-21.2851860749169,-38.9813105907131
-120,-22.7649046529774,-39.3779726990917
-119,-24.1612363490434,-39.929336449409
-118,-25.2768292279912,-40.5794713987592
-117,-25.4698538142546,-41.2379931930835
-116,-24.4816989942839,-41.8694169352985
-115,-23.0759829906813,-42.5496283315773
-114,-21.9191572139652,-43.3853101898582
-113,-21.1583486050685,-44.3357372029267
-112,-20.6673648688702,-45.0826000466744
-111,-20.2570784455052,-45.2598145527576
-110,-19.8364474050859,-44.9936708056849
-109,-19.4656211232302,-44.7572993473601
-108,-19.2585241731213,-44.8132400932964
-107,-19.2667758869299,-45.0641121060172
-106,-19.4442762541302,-45.188742935279
-105,-19.6890743971128,-44.9904018035822
-104,-19.9321592140918,-44.6199777157008
-103,-20.1990688119694,-44.3060318526826
-102,-20.5748918412164,-44.0750339670773
-101,-21.1186658848804,-43.7985674609241
-100,-21.8167950146992,-43.4211457265572
-99,-22.6063036259997,-43.0687929869437
-98,-23.4488845828704,-42.9032372154618
-97,-24.3899075458531,-42.9444540535877
-96,-25.5396492968891,-43.0284233753174
-95,-27.0109828135438,-42.9413424436614
-94,-28.8977854443616,-42.6615709687194
-93,-31.3449750378277,-42.3839085807313
-92,-34.7691574442659,-42.2859382378899
-91,-40.6603332741365,-42.3658318775907
-90,-300.074839925705,-42.4570387853135
-89,-40.5098210014036,-42.3960568883968
-88,-34.4959975160893,-42.2164101403698
-87,-30.9886004226147,-42.1084120460528
-86,-28.4827626278017,-42.2093238587933
-85,-26.5320930184294,-42.4763496253655
-84,-24.9745924008008,-42.7020267714237
-83,-23.7297289782705,-42.6941861639941
-82,-22.7240528484459,-42.4965365000867
-81,-21.8856279712371,-42.3317267800636
-80,-21.1712575041995,-42.3641875368125
-79,-20.5834914703406,-42.5841027364108
-78,-20.1527751183663,-42.8327941766302
-77,-19.9023475569755,-42.9362448281811
-76,-19.8297343206614,-42.8747210078776
-75,-19.920116446958,-42.7850223072988
-74,-20.1816113619051,-42.7979735462863
-73,-20.6746317949351,-42.9254281057334
-72,-21.5149368129349,-43.0670801800474
-71,-22.8636957682091,-43.1046341243791
-70,-24.9302847542445,-43.0154049201224
-69,-27.8802204191938,-42.8883430658776
-68,-30.2611119673253,-42.8331181795161
-67,-27.4993631573481,-42.8966859195275
